regime,arc,n_samples,n_bezier,method,time_s,metric_name,metric,failed
full_day,12->443,3222,20,bezier_pgd,0.004696037038229406,mse,0.0025348809927058795,False
full_day,12->443,3222,20,bezier_ipopt,20.979740176990163,mse,0.00025220343744854353,False
full_day,12->443,3222,20,bezier_nm,60.28792839898961,mse,0.23305313921844326,False
full_day,12->533,3222,20,bezier_pgd,0.0045511029893532395,mse,0.004751000506120911,False
full_day,12->533,3222,20,bezier_ipopt,27.974298226996325,mse,0.00021327914372267574,False
full_day,12->533,3222,20,bezier_nm,56.74974950600881,mse,0.2446071595186465,False
full_day,120->462,3222,20,bezier_pgd,0.004945249005686492,mse,0.0005185374984479586,False
full_day,120->462,3222,20,bezier_ipopt,23.931587858998682,mse,0.00013318958060803404,False
full_day,120->462,3222,20,bezier_nm,57.95714772300562,mse,0.11051116885163635,False
full_day,120->490,3222,20,bezier_pgd,0.0071782589657232165,mse,0.006499904395274103,False
full_day,120->490,3222,20,bezier_ipopt,31.69494506402407,mse,0.00019838333526576367,False
full_day,120->490,3222,20,bezier_nm,56.042197016999125,mse,0.25368530747972057,False
full_day,121->299,3222,20,bezier_pgd,0.004343326028902084,mse,0.0007981017332729793,False
full_day,121->299,3222,20,bezier_ipopt,39.07766635296866,mse,0.0002769199667830715,False
full_day,121->299,3222,20,bezier_nm,59.18569386197487,mse,0.10247525265408189,False
full_day,121->423,3222,20,bezier_pgd,0.005141750967595726,mse,0.01631579846743466,False
full_day,121->423,3222,20,bezier_ipopt,19.25989235698944,mse,0.00019956344627353184,False
full_day,121->423,3222,20,bezier_nm,55.40099635301158,mse,0.2947669959282707,False
full_day,122->348,3222,20,bezier_pgd,0.005504783010110259,mse,0.0010552140420576675,False
full_day,122->348,3222,20,bezier_ipopt,20.745354380982462,mse,0.00018677195145878092,False
full_day,122->348,3222,20,bezier_nm,57.47512035100954,mse,0.1985845107283169,False
full_day,122->415,3222,20,bezier_pgd,0.0055807820172049105,mse,0.011408511251248109,False
full_day,122->415,3222,20,bezier_ipopt,44.639299169997685,mse,0.00016339093955285283,False
full_day,122->415,3222,20,bezier_nm,56.64965133101214,mse,0.28742305266878454,False
full_day,123->463,3222,20,bezier_pgd,0.0037177560152485967,mse,0.0113342145629462,False
full_day,123->463,3222,20,bezier_ipopt,,mse,,True
full_day,123->463,3222,20,bezier_nm,57.55320508003933,mse,0.45746480435001263,False
full_day,123->486,3222,20,bezier_pgd,0.005972336977720261,mse,0.0011378983523387786,False
full_day,123->486,3222,20,bezier_ipopt,34.11330621299567,mse,0.00011176048805609286,False
full_day,123->486,3222,20,bezier_nm,56.517022107960656,mse,0.18763393716858187,False
full_day,124->125,3222,20,bezier_pgd,0.005520231032278389,mse,0.017603231814457356,False
full_day,124->125,3222,20,bezier_ipopt,18.692752167000435,mse,0.0002797637461214476,False
full_day,124->125,3222,20,bezier_nm,56.11232764297165,mse,0.27108281944205276,False
full_day,124->453,3222,20,bezier_pgd,0.004974116978701204,mse,0.0005473365254910294,False
full_day,124->453,3222,20,bezier_ipopt,24.65389898995636,mse,0.00020186515900297788,False
full_day,124->453,3222,20,bezier_nm,56.732258232019376,mse,0.11825984986519868,False
full_day,125->124,3222,20,bezier_pgd,0.00541736203012988,mse,0.014056015160350429,False
full_day,125->124,3222,20,bezier_ipopt,28.571581870957743,mse,0.00017463675400790262,False
full_day,125->124,3222,20,bezier_nm,54.054519002034795,mse,0.2644146503294984,False
full_day,125->429,3222,20,bezier_pgd,0.005095375003293157,mse,0.017519558257576427,False
full_day,125->429,3222,20,bezier_ipopt,28.630523275991436,mse,0.0004473484425293206,False
full_day,125->429,3222,20,bezier_nm,58.95343986200169,mse,0.24649316737403068,False
full_day,126->343,3222,20,bezier_pgd,0.004737301031127572,mse,0.013394730472768604,False
full_day,126->343,3222,20,bezier_ipopt,23.02702388999751,mse,0.0001458541469345147,False
full_day,126->343,3222,20,bezier_nm,58.73870609101141,mse,0.27620139591411924,False
full_day,126->464,3222,20,bezier_pgd,0.00456330698216334,mse,0.011301290906715113,False
full_day,126->464,3222,20,bezier_ipopt,31.35138303297572,mse,0.00013758837531643593,False
full_day,126->464,3222,20,bezier_nm,54.977720827038866,mse,0.2759545612599759,False
full_day,127->17,3222,20,bezier_pgd,0.008446135965641588,mse,0.006978753278568708,False
full_day,127->17,3222,20,bezier_ipopt,,mse,,True
full_day,127->17,3222,20,bezier_nm,57.292621307016816,mse,0.23937767945500144,False
