arc,n_samples,method,time_s,metric_name,metric,failed,regime,n_bezier
115->353,542,bezier_mle,0.031945338007062674,nll,-2413.617447258595,False,rush_hour,10
115->353,542,gen_beta_mle,0.06918669398874044,nll,-2669.4206564280007,False,rush_hour,10
115->353,542,johnson_mle,0.042310844000894576,nll,-2382.4574365855733,False,rush_hour,10
115->459,542,bezier_mle,0.08790403499733657,nll,-2297.0083506119613,False,rush_hour,10
115->459,542,gen_beta_mle,0.05083215003833175,nll,-2321.4568216797943,False,rush_hour,10
115->459,542,johnson_mle,0.02110622002510354,nll,-2367.8433610185893,False,rush_hour,10
116->177,542,bezier_mle,0.07407610100926831,nll,-2094.096598604279,False,rush_hour,10
116->177,542,gen_beta_mle,0.04901549802161753,nll,-2204.3668077724246,False,rush_hour,10
116->177,542,johnson_mle,0.020842754980549216,nll,-2217.5965206905007,False,rush_hour,10
116->423,542,bezier_mle,0.017697600997053087,nll,-2337.998591663871,False,rush_hour,10
116->423,542,gen_beta_mle,0.03448565298458561,nll,-2286.833061408309,False,rush_hour,10
116->423,542,johnson_mle,0.013946204970125109,nll,-2331.71277257615,False,rush_hour,10
117->460,542,bezier_mle,0.007087834004778415,nll,-2068.9650644185112,False,rush_hour,10
117->460,542,gen_beta_mle,0.034294087963644415,nll,-2041.8626086049526,False,rush_hour,10
117->460,542,johnson_mle,0.02244042296661064,nll,-2059.6007984505914,False,rush_hour,10
117->484,542,bezier_mle,0.06812776601873338,nll,-2068.825226589705,False,rush_hour,10
117->484,542,gen_beta_mle,0.03429966000840068,nll,-2107.6661798215237,False,rush_hour,10
117->484,542,johnson_mle,0.017251109005883336,nll,-2112.9470559217352,False,rush_hour,10
118->119,542,bezier_mle,0.027830257022287697,nll,-2097.3719868980156,False,rush_hour,10
118->119,542,gen_beta_mle,0.01679004094330594,nll,-2100.2208184451665,False,rush_hour,10
118->119,542,johnson_mle,0.04038475698325783,nll,-2098.8256966108047,False,rush_hour,10
118->137,542,bezier_mle,0.018707916024141014,nll,-2285.2135399859403,False,rush_hour,10
118->137,542,gen_beta_mle,0.016479717975016683,nll,-2283.9480765708668,False,rush_hour,10
118->137,542,johnson_mle,0.02092349500162527,nll,-2284.4354496751475,False,rush_hour,10
119->118,542,bezier_mle,0.05856848898110911,nll,-2221.4151578744822,False,rush_hour,10
119->118,542,gen_beta_mle,0.056315632013138384,nll,-2321.180996740676,False,rush_hour,10
119->118,542,johnson_mle,0.030796845036093146,nll,-2328.1331501506706,False,rush_hour,10
119->311,542,bezier_mle,0.05415028298739344,nll,-2166.6274079829304,False,rush_hour,10
119->311,542,gen_beta_mle,0.06106569798430428,nll,-2157.7647033494172,False,rush_hour,10
119->311,542,johnson_mle,0.030280807055532932,nll,-2171.9193547088444,False,rush_hour,10
12->443,542,bezier_mle,0.1266369119985029,nll,-2452.3106560737765,False,rush_hour,10
12->443,542,gen_beta_mle,0.027527329977601767,nll,-2453.3779583654314,False,rush_hour,10
12->443,542,johnson_mle,0.03012240503448993,nll,-2453.880050050535,False,rush_hour,10
12->533,542,bezier_mle,0.1003298939904198,nll,-2133.042864071138,False,rush_hour,10
12->533,542,gen_beta_mle,0.06736452801851556,nll,-2207.66034970175,False,rush_hour,10
12->533,542,johnson_mle,0.031170025991741568,nll,-2221.521124676173,False,rush_hour,10
120->462,542,bezier_mle,0.05571684200549498,nll,-2103.5160497878824,False,rush_hour,10
120->462,542,gen_beta_mle,0.06815461703808978,nll,-2090.8017300866168,False,rush_hour,10
