n,rep,m,status,MSE,sup,l2,time_ms
24,2,11520,ok,2.87237429579159e-06,0.009066362640029468,0.00347100656035119,418.8461829908192
24,3,11520,attempt,,,,
24,3,11520,ok,2.893165864099365e-06,0.014472255934156297,0.007239670987468512,401.3032209913945
24,4,11520,attempt,,,,
24,4,11520,ok,2.1708806086978707e-06,0.008416828087470907,0.003193138399313292,406.68713201011997
24,5,11520,attempt,,,,
24,5,11520,ok,2.7909201860398592e-06,0.01279094372790901,0.005667772473097286,420.4554510070011
24,6,11520,attempt,,,,
24,6,11520,ok,3.85191281228487e-06,0.006002459592499787,0.0028265137400810786,430.3226999909384
24,7,11520,attempt,,,,
24,7,11520,ok,2.7685309267171773e-06,0.017353386775578905,0.008663077240129357,409.04210699955
24,8,11520,attempt,,,,
24,8,11520,ok,3.4144360368074318e-06,0.00851625192149702,0.003380329267990497,405.4098869964946
24,9,11520,attempt,,,,
24,9,11520,ok,3.3943550267919544e-06,0.00944354728786323,0.004523033440860785,401.04170399717987
29,0,16820,attempt,,,,
29,0,16820,ok,1.5010965674449672e-06,0.0047529396571794336,0.0026944808826451228,661.2815569969825
29,1,16820,attempt,,,,
29,1,16820,ok,1.457187094991027e-06,0.006702641806102694,0.0032904856085008262,644.3379270058358
29,2,16820,attempt,,,,
29,2,16820,ok,1.457281890401427e-06,0.007814479752168424,0.0031133595574596258,644.6531359979417
29,3,16820,attempt,,,,
29,3,16820,ok,1.5290111619915396e-06,0.006217073794429928,0.002750977394529529,707.0101240096847
29,4,16820,attempt,,,,
29,4,16820,ok,1.8768105483559604e-06,0.008370911806742987,0.0033262674586875133,655.8149539923761
29,5,16820,attempt,,,,
29,5,16820,ok,1.3406399463603903e-06,0.01492847455604479,0.0077653738839934825,652.556592001929
29,6,16820,attempt,,,,
29,6,16820,ok,1.348177066166711e-06,0.007910938512847077,0.0031879786109301426,696.1980479973136
29,7,16820,attempt,,,,
29,7,16820,ok,1.6132428158496654e-06,0.0074094513170117615,0.0032296378588752,907.4107769993134
29,8,16820,attempt,,,,
29,8,16820,ok,1.8164664212531283e-06,0.006116314694483926,0.003688221948177346,718.2398200093303
29,9,16820,attempt,,,,
29,9,16820,ok,1.0930797475030915e-06,0.008860554863774128,0.004388031343108534,639.248649997171
36,0,25920,attempt,,,,
36,0,25920,ok,8.871132680376953e-07,0.007240864494993116,0.0034210945254339697,1316.4815539930714
36,1,25920,attempt,,,,
36,1,25920,ok,8.199549896497981e-07,0.007429837741915302,0.0032298050646463613,1219.4881370087387
36,2,25920,attempt,,,,
36,2,25920,ok,1.0608316964720928e-06,0.0051682524689710685,0.0020111665468434594,1490.6468150002183
36,3,25920,attempt,,,,
36,3,25920,ok,9.181955801121121e-07,0.004545361374505341,0.0020455750270282863,1248.3628479967592
36,4,25920,attempt,,,,
36,4,25920,ok,7.151939797074412e-07,0.003774345014463165,0.00234594914827638,1272.188778995769
36,5,25920,attempt,,,,
36,5,25920,ok,5.664340452767557e-07,0.0061579349890273916,0.003163162790086112,1253.4489399986342
36,6,25920,attempt,,,,
36,6,25920,ok,9.010888516050497e-07,0.007503861507084153,0.0038097762949028304,1228.041338006733
36,7,25920,attempt,,,,
36,7,25920,ok,7.535869127598632e-07,0.005665942655569134,0.0026193617939594205,1326.9890299998224
36,8,25920,attempt,,,,
36,8,25920,ok,1.083248192395827e-06,0.004835751865827631,0.0027494608426362204,1350.8715880016098
36,9,25920,attempt,,,,
36,9,25920,ok,6.653020570018442e-07,0.006017087557202483,0.0028684788021646145,1273.8037450035335
44,0,38720,attempt,,,,
44,0,38720,ok,3.8444726344198243e-07,0.004336181391593641,0.0020027795029221745,2239.465382997878
44,1,38720,attempt,,,,
44,1,38720,ok,4.168153886453001e-07,0.0035787688079568225,0.0018714135793904132,1985.5597540008603
44,2,38720,attempt,,,,
44,2,38720,ok,6.403737568567355e-07,0.0052288680403189125,0.002437196344703543,2067.1855980035616
44,3,38720,attempt,,,,
44,3,38720,ok,5.529993207886752e-07,0.0060856708049151775,0.0032668531374896457,2095.2450269978726
44,4,38720,attempt,,,,
44,4,38720,ok,4.913915693400359e-07,0.005117312325705559,0.00210036841980848,2422.421162991668
44,5,38720,attempt,,,,
44,5,38720,ok,4.290324767207451e-07,0.004999114339233224,0.0025308429454863274,2424.703002005117
44,6,38720,attempt,,,,
44,6,38720,ok,4.3312902841687196e-07,0.00457387650308938,0.0018109727698608351,2175.5181359912967
44,7,38720,attempt,,,,
44,7,38720,ok,4.741235221593187e-07,0.004702019614022057,0.002055119260819493,2127.034156001173
44,8,38720,attempt,,,,
44,8,38720,ok,4.899363321325366e-07,0.00585503827656042,0.00196397874671539,2051.8230840098113
44,9,38720,attempt,,,,
44,9,38720,ok,5.85120826123063e-07,0.002818685663685261,0.0015330317468239755,2105.5656090029515
54,0,58320,attempt,,,,
54,0,58320,ok,2.782204504857259e-07,0.0033539232660791396,0.0012807107855885118,5099.638471001526
54,1,58320,attempt,,,,
54,1,58320,ok,2.986740420014292e-07,0.0029472726954802297,0.001228344010155577,4538.615887999185
54,2,58320,attempt,,,,
54,2,58320,ok,3.269467946643652e-07,0.003086429560364423,0.0013713257245555478,3770.5756049981574
54,3,58320,attempt,,,,
54,3,58320,ok,2.2624651204988082e-07,0.003877748823397975,0.0014644312508408466,4498.921564008924
54,4,58320,attempt,,,,
54,4,58320,ok,2.390685190807272e-07,0.003415060788484303,0.0013103433762508606,4228.613507992122
54,5,58320,attempt,,,,
54,5,58320,ok,1.7842931911218134e-07,0.004067261081873663,0.0015066050325050202,4048.8157809886616
54,6,58320,attempt,,,,
54,6,58320,ok,2.6491042585147226e-07,0.003123210519433983,0.0012733200294182934,4438.702692001243
54,7,58320,attempt,,,,
54,7,58320,ok,3.284106686747643e-07,0.00593547053513821,0.0030112391108202607,4300.787070998922
54,8,58320,attempt,,,,
54,8,58320,ok,2.6605357660482814e-07,0.0026382295088888674,0.0011538394313728958,4382.013099995675
54,9,58320,attempt,,,,
54,9,58320,ok,2.14204450947863e-07,0.004345615856637897,0.0017168153510591089,4294.763872996555
66,0,87120,attempt,,,,
66,0,87120,ok,1.3864380692048155e-07,0.0025166125536673634,0.0009877973840212045,7081.061040007626
66,1,87120,attempt,,,,
66,1,87120,ok,1.3072515964833855e-07,0.0029620446980108683,0.0009468063823381992,7531.061357003637
66,2,87120,attempt,,,,
